IDfg,Season,Name,Team,Age,W,L,WAR,ERA,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,Dollars,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB% 2,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xERA,botERA,botOvr CH,botStf CH,botCmd CH,botOvr CU,botStf CU,botCmd CU,botOvr FA,botStf FA,botCmd FA,botOvr SI,botStf SI,botCmd SI,botOvr SL,botStf SL,botCmd SL,botOvr KC,botStf KC,botCmd KC,botOvr FC,botStf FC,botCmd FC,botOvr FS,botStf FS,botCmd FS,botOvr,botStf,botCmd,botxRV100,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,Stuff+,Location+,Pitching+,Stf+ FO,Loc+ FO,Pit+ FO
1001013,1947,Ewell Blackwell,CIN,24,22,8,7.3,2.47,33,33,23,6,0,,273.0,1086,227,91,75,10,95,,4,2,1.0,193,,,,,,,,,,,,6.36,3.13,2.03,7.48,0.33,0.23,1.18,0.277,0.753,2.82,,,,,,,,,,,,,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,68,,0.17800000000000002,0.087,,,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,0.1,1.1,1.1,24 - 24,0.09,,,,,,,2.85,0.27399999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,85,202,81,45,87,82,100,108,187,93,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009535,1947,Hal Newhouser,DET,26,17,17,6.7,2.87,40,36,24,3,2,,285.0,1216,268,105,91,9,110,,2,11,0.0,176,,,,,,,,,,,,5.56,3.47,1.6,8.46,0.28,0.243,1.33,0.282,0.7490000000000001,3.02,,,,,,,,,,,,,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,73,,0.145,0.09,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,-1.0,0.9,-0.1,26 - 26,0.054000000000000006,,,,,,,3.28,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,90,164,97,52,97,95,105,105,149,91,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012299,1947,Warren Spahn,BSN,26,21,10,5.8,2.33,40,35,22,7,3,,289.2,1174,245,87,75,15,84,,1,5,0.0,123,,,,,,,,,,,,3.82,2.61,1.46,7.61,0.47,0.225,1.14,0.242,0.7859999999999999,3.37,,,,,,,,,,,,,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,81,,0.105,0.07200000000000001,,,-1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,2.9,1.4,4.4,26 - 26,0.033,,,,,,,3.54,0.18899999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,71,145,82,64,85,79,87,113,110,76,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011373,1947,Johnny Sain,BSN,29,21,12,4.9,3.52,38,35,22,3,1,,266.0,1131,265,117,104,19,79,,4,3,0.0,132,,,,,,,,,,,,4.47,2.67,1.67,8.97,0.64,0.253,1.29,0.274,0.7190000000000001,3.54,,,,,,,,,,,,,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,85,,0.11699999999999999,0.07,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.3,-0.1,0.1,29 - 29,0.047,,,,,,,3.37,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,73,166,97,88,96,90,99,103,123,74,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009320,1947,Red Munger,STL,28,16,5,4.9,3.37,40,31,13,6,3,,224.1,936,218,94,84,12,76,,2,4,0.0,123,,,,,,,,,,,,4.93,3.05,1.62,8.75,0.48,0.254,1.31,0.285,0.723,3.31,,,,,,,,,,,,,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,77,,0.131,0.081,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,-0.4,0.4,0.0,28 - 28,0.05,,,,,,,3.33,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,83,161,95,66,96,91,103,104,138,86,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007533,1947,Dutch Leonard,PHI,38,17,12,4.8,2.68,32,29,19,3,0,,235.0,943,224,86,70,14,57,,2,4,0.0,103,,,,,,,,,,,,3.94,2.18,1.81,8.58,0.54,0.253,1.2,0.274,0.748,3.32,,,,,,,,,,,,,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,80,,0.109,0.06,,,-0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,0.3,1.2,1.5,38 - 38,0.049,,,,,,,3.35,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,60,179,93,74,96,83,99,107,115,64,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001343,1947,Ralph Branca,BRO,21,21,12,4.5,2.67,43,36,15,4,1,,280.0,1158,251,100,83,22,98,,6,7,1.0,148,,,,,,,,,,,,4.76,3.15,1.51,8.07,0.71,0.238,1.25,0.259,0.787,3.75,,,,,,,,,,,,,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,89,,0.128,0.085,,,-1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,1.4,2.0,3.4,21 - 21,0.043,,,,,,,3.42,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,86,150,87,97,90,87,93,113,134,90,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003975,1947,Bob Feller,CLE,28,20,11,4.4,2.68,42,37,20,5,3,,299.0,1218,230,97,89,17,127,,4,7,2.0,196,,,,,,,,,,,,5.9,3.82,1.54,6.92,0.51,0.212,1.19,0.244,0.7829999999999999,3.41,,,,,,,,,,,,,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,90,,0.161,0.10400000000000001,,,-0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,2.0,1.0,3.0,28 - 28,0.057,,,,,,,3.25,0.27899999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,99,158,79,93,84,85,91,110,165,105,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006238,1947,Fred Hutchinson,DET,27,18,10,4.3,3.03,33,25,18,3,2,,219.2,911,211,84,74,14,61,,2,2,0.0,113,,,,,,,,,,,,4.63,2.5,1.85,8.64,0.57,0.249,1.24,0.273,0.747,3.33,,,,,,,,,,,,,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,81,,0.124,0.067,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,-0.3,0.6,0.3,27 - 27,0.057,,,,,,,3.25,0.20600000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,65,190,99,104,99,89,102,105,127,67,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008230,1947,Walt Masterson,WAS,27,12,16,4.3,3.13,35,31,14,4,1,,253.0,1035,215,98,88,11,97,,2,3,0.0,135,,,,,,,,,,,,4.8,3.45,1.39,7.65,0.39,0.23,1.23,0.258,0.723,3.34,,,,,,,,,,,,,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,86,,0.13,0.094,,,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,0.7,-0.4,0.3,27 - 27,0.037000000000000005,,,,,,,3.49,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,89,143,88,71,91,88,96,101,134,94,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003344,1947,Joe Dobson,BOS,30,18,8,4.1,2.95,33,31,15,1,1,,228.2,935,203,84,75,15,73,,1,11,1.0,110,,,,,,,,,,,,4.33,2.87,1.51,7.99,0.59,0.236,1.21,0.255,0.754,3.53,,,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,85,,0.11800000000000001,0.078,,,-0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,0.8,0.5,1.3,30 - 30,0.04,,,,,,,3.46,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,75,154,92,107,94,86,95,106,121,78,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006358,1947,Larry Jansen,NYG,26,21,5,4.0,3.16,42,30,20,1,1,,248.0,985,241,102,87,23,57,,1,2,1.0,104,,,,,,,,,,,,3.77,2.07,1.82,8.75,0.83,0.26,1.2,0.273,0.738,3.74,,,,,,,,,,,,,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,88,,0.106,0.057999999999999996,,,-0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,0.3,1.1,1.4,26 - 26,0.048,,,,,,,3.36,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,56,181,95,115,99,84,98,106,111,61,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001371,1947,Al Brazle,STL,33,14,8,3.8,2.84,44,19,7,0,4,,168.0,713,186,65,53,7,48,,2,4,0.0,85,,,,,,,,,,,,4.55,2.57,1.77,9.96,0.38,0.281,1.39,0.313,0.7559999999999999,3.09,,,,,,,,,,,,,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,72,,0.11900000000000001,0.067,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,-1.6,1.8,0.1,33 - 33,0.052000000000000005,,,,,,,3.31,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,70,176,108,52,106,97,113,108,125,71,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007748,1947,Ed Lopat,CHW,29,16,13,3.7,2.81,31,31,22,3,0,,252.2,1047,241,88,79,17,73,,2,0,0.0,109,,,,,,,,,,,,3.88,2.6,1.49,8.58,0.61,0.248,1.24,0.265,0.78,3.57,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,92,,0.10400000000000001,0.07,,,-0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.3,2.0,2.3,29 - 29,0.034,,,,,,,3.52,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,67,153,98,110,99,89,98,109,107,70,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003282,1947,Murry Dickson,STL,30,13,16,3.6,3.07,47,25,11,4,3,,231.2,970,211,101,79,16,88,,2,1,0.0,111,,,,,,,,,,,,4.31,3.42,1.26,8.2,0.62,0.24,1.29,0.259,0.718,3.77,,,,,,,,,,,,,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,88,,0.114,0.091,,,-0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,1.1,-0.3,0.8,30 - 30,0.024,,,,,,,3.65,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,93,125,89,85,91,90,93,103,120,96,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011585,1947,Johnny Schmitz,CHC,26,13,18,3.6,3.22,38,28,10,3,4,,207.0,894,209,91,74,8,80,,2,6,0.0,97,,,,,,,,,,,,4.22,3.48,1.21,9.09,0.35,0.257,1.4,0.284,0.715,3.42,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,85,,0.109,0.08900000000000001,,,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,-0.4,0.2,-0.2,26 - 26,0.019,,,,,,,3.71,0.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,95,120,98,48,98,97,102,102,114,95,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013196,1947,Dizzy Trout,DET,32,10,11,3.5,3.48,32,26,9,2,2,,186.1,795,186,85,72,6,65,,3,2,1.0,74,,,,,,,,,,,,3.57,3.14,1.14,8.98,0.29,0.256,1.35,0.278,0.688,3.39,,,,,,,,,,,,,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,82,,0.09300000000000001,0.08199999999999999,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,-0.5,-0.6,-1.1,32 - 32,0.011000000000000001,,,,,,,3.8,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,81,117,103,53,102,96,103,97,96,82,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006922,1947,Ellis Kinder,SLB,32,8,15,3.5,4.49,34,26,10,2,1,,194.1,848,201,105,97,11,82,,0,1,1.0,110,,,,,,,,,,,,5.09,3.8,1.34,9.31,0.51,0.262,1.46,0.295,0.665,3.54,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,85,,0.13,0.09699999999999999,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,-1.3,-1.2,-2.5,32 - 32,0.033,,,,,,,3.54,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,98,137,107,92,104,104,110,93,133,97,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015715,1947,Jim LaMarque,KCM,26,10,3,3.4,3.17,17,15,12,1,1,,122.0,531,125,63,43,0,35,0.0,5,0,0.0,85,,,,,,,,,,,,6.27,2.58,2.43,9.22,0.0,0.255,1.31,0.308,0.618,2.26,,,,,,,,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,73,,0.16,0.066,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,0.1,-0.2,-0.1,26 - 26,0.094,,,,,,,2.8,0.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,67,191,90,0,92,83,99,105,135,70,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001375,1947,Harry Brecheen,STL,32,16,11,3.3,3.3,29,28,18,1,1,,223.1,927,220,92,82,20,66,,3,3,0.0,89,,,,,,,,,,,,3.59,2.66,1.35,8.87,0.81,0.256,1.28,0.267,0.755,3.96,,,,,,,,,,,,,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,93,,0.096,0.071,,,-0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,0.7,1.2,1.9,32 - 32,0.025,,,,,,,3.64,0.18899999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,73,134,96,111,97,89,96,108,101,75,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
