IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1011327,1923,Babe Ruth,NYY,28,152,522,699,205,106,45,13,41,151,131,170,,93.0,4,,3,,17,21.0,0.393,,,,,,,,,,,0.243,0.133,1.83,0.545,0.764,1.309,0.372,0.423,,,,,,,,,0.569,126.5,218,121.9,19.0,22.6,-6.4,154.7,14.7,,5.5,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,-5.1,,28 - 28,116.8,2.8,,,,,,,,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,276,208.0,151,191,336,139.0,,,,,,,,,,,,,,,,,,0,,,,,,14.7
1005590,1923,Harry Heilmann,DET,28,144,524,626,211,138,44,11,18,121,115,74,,40.0,5,,23,,9,7.0,0.403,,,,,,,,,,,0.11800000000000001,0.064,1.85,0.481,0.632,1.113,0.229,0.414,,,,,,,,,0.502,79.2,161,74.5,5.0,20.2,-6.1,95.5,9.0,,5.9,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,-0.6,,28 - 28,73.9,2.5,,,,,,,,0.21100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,134,100.0,134,158,207,136.0,,,,,,,,,,,,,,,,,,0,,,,,,9.0
1012309,1923,Tris Speaker,CLE,35,150,574,693,218,131,59,11,17,133,130,93,,15.0,4,,22,,8,9.0,0.38,,,,,,,,,,,0.134,0.022000000000000002,6.2,0.469,0.61,1.079,0.23,0.371,,,,,,,,,0.488,79.6,170,72.2,-1.0,22.4,-3.7,90.9,8.6,,5.4,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.7,-1.7,,35 - 35,70.5,2.7,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,153,34.0,130,152,208,122.0,,,,,,,,,,,,,,,,,,0,,,,,,8.6
1004364,1923,Frankie Frisch,NYG,24,151,641,702,223,169,32,10,12,116,111,46,,12.0,4,,11,,29,12.0,0.348,,,,,,,,,,,0.066,0.017,3.83,0.395,0.485,0.88,0.137,0.342,,,,,,,,,0.406,34.1,126,31.4,14.0,22.7,4.7,78.2,7.5,,6.8,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,1.2,,24 - 24,32.6,4.3,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,87,28.0,112,119,120,112.0,,,,,,,,,,,,,,,,,,0,,,,,,7.5
1014012,1923,Ken Williams,SLB,33,147,555,646,198,120,37,12,29,106,91,79,,32.0,2,,10,,18,17.0,0.357,,,,,,,,,,,0.122,0.05,2.47,0.439,0.623,1.062,0.267,0.342,,,,,,,,,0.476,67.9,152,57.9,5.0,20.8,-6.3,76.7,7.3,,5.8,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,-3.4,,33 - 33,54.6,2.6,,,,,,,,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,139,77.0,122,156,241,112.0,,,,,,,,,,,,,,,,,,0,,,,,,7.3
1015976,1923,Dobie Moore,KCM,27,94,378,405,138,99,22,9,8,70,79,21,,,6,,18,,10,,0.365,,,,,,,,,,,0.052000000000000005,,,0.407,0.534,0.942,0.169,,,,,,,,,,0.43,27.6,80,23.1,30.0,13.1,5.8,75.4,7.3,,6.6,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,2.4,,27 - 27,25.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,62,,114,130,140,,,,,,,,,,,,,,,,,,,0,,,,,,7.3
1006030,1923,Rogers Hornsby,STL,27,107,424,487,163,104,32,10,17,89,83,55,,29.0,3,,5,,3,7.0,0.384,,,,,,,,,,,0.113,0.06,1.9,0.459,0.627,1.086,0.243,0.386,,,,,,,,,0.488,56.2,120,53.5,1.0,15.7,2.5,73.7,7.0,,5.0,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,-2.0,,27 - 27,51.5,3.0,,,,,,,,0.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,149,98.0,130,154,212,127.0,,,,,,,,,,,,,,,,,,0,,,,,,7.0
1011766,1923,Joe Sewell,CLE,24,153,553,682,195,141,41,10,3,98,109,98,,12.0,7,,24,,9,6.0,0.353,,,,,,,,,,,0.14400000000000002,0.018000000000000002,8.17,0.456,0.479,0.935,0.127,0.357,,,,,,,,,0.438,51.1,140,43.8,-5.0,22.0,9.3,72.8,6.8,,5.0,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,-0.1,,24 - 24,43.8,2.7,,,,,,,,0.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,163,27.0,127,120,114,117.0,,,,,,,,,,,,,,,,,,0,,,,,,6.8
1015593,1923,Heavy Johnson,KCM,28,98,374,420,152,87,32,13,20,91,120,38,,,8,,9,,17,,0.406,,,,,,,,,,,0.09,,,0.471,0.722,1.193,0.316,,,,,,,,,,0.528,61.9,117,57.3,-7.0,13.6,-4.2,64.5,6.0,,7.1,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.2,3.9,,28 - 28,61.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,108,,132,175,261,,,,,,,,,,,,,,,,,,,0,,,,,,6.0
1016248,1923,Bill Riggins,DS,23,71,265,298,80,62,9,3,6,59,43,32,,,1,,20,,2,,0.302,,,,,,,,,,,0.107,,,0.379,0.426,0.806,0.125,,,,,,,,,,0.377,7.6,47,4.4,41.0,9.6,4.4,60.8,6.0,,5.2,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4,0.7,,23 - 23,5.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,128,,106,103,103,,,,,,,,,,,,,,,,,,,0,,,,,,6.0
