IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1012309,1916,Tris Speaker,CLE,28,151,546,647,211,160,41,8,2,102,79,82,,20,4,,15,,35,27.0,0.386,,,,,,,,,,,0.127,0.031,4.1,0.47,0.502,0.972,0.115,0.399,,,,,,,,,0.464,64.8,127,55.7,1.0,17.0,-3.7,66.8,8.0,,5.8,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7,-4.9,,28 - 28,50.8,1.7,,,,,,,,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,142,36,142,150,147,142,,,,,,,,,,,,,,,,,,0,,,,,,8.0
1002378,1916,Ty Cobb,DET,29,145,542,636,201,155,31,10,5,113,68,78,,39,2,,14,,68,24.0,0.371,,,,,,,,,,,0.12300000000000001,0.061,2.0,0.452,0.493,0.944,0.122,0.394,,,,,,,,,0.452,58.5,120,51.3,-5.0,16.8,-3.6,63.9,7.8,,7.9,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.6,2.8,,29 - 29,54.1,1.6,,,,,,,,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,138,72,137,147,155,140,,,,,,,,,,,,,,,,,,0,,,,,,7.8
1006301,1916,Joe Jackson,CHW,26,155,592,659,202,138,40,21,3,91,78,46,,25,5,,16,,24,14.0,0.341,,,,,,,,,,,0.07,0.038,1.84,0.393,0.495,0.888,0.154,0.353,,,,,,,,,0.423,47.9,111,42.5,3.0,17.4,-7.6,54.8,6.5,,6.7,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.6,-2.1,,26 - 26,40.4,1.7,,,,,,,,0.11199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,78,45,119,148,196,125,,,,,,,,,,,,,,,,,,0,,,,,,6.5
1013828,1916,Zack Wheat,BRO,28,149,568,626,177,123,32,13,9,76,73,43,,49,6,,9,,19,,0.312,,,,,,,,,,,0.069,0.078,0.88,0.366,0.461,0.828,0.15,0.329,,,,,,,,,0.397,34.8,95,31.5,10.0,16.5,-7.3,54.9,6.4,,6.3,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,1.8,,28 - 28,33.4,2.4,,,,,,,,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,100,85,117,136,176,118,,,,,,,,,,,,,,,,,,0,,,,,,6.4
1002451,1916,Eddie Collins,CHW,29,155,545,673,168,137,14,17,0,87,52,86,,36,3,,39,,40,21.0,0.308,,,,,,,,,,,0.128,0.053,2.39,0.405,0.396,0.802,0.088,0.33,,,,,,,,,0.389,34.2,99,28.6,8.0,17.7,0.0,54.4,6.4,,7.0,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,-1.7,,29 - 29,26.9,1.7,,,,,,,,0.18100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,143,63,123,118,112,117,,,,,,,,,,,,,,,,,,0,,,,,,6.4
1004149,1916,Art Fletcher,NYG,31,133,500,542,143,109,23,8,3,53,66,13,,36,14,,15,,15,,0.286,,,,,,,,,,,0.024,0.066,0.36,0.323,0.382,0.705,0.096,0.304,,,,,,,,,0.34,9.9,62,10.5,16.0,14.3,8.2,52.5,6.0,,5.9,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,1.4,,31 - 31,11.9,2.1,,,,,,,,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,35,72,103,113,113,109,,,,,,,,,,,,,,,,,,0,,,,,,6.0
1005078,1916,Heinie Groh,CIN,26,149,553,652,149,109,24,14,2,85,28,84,,34,4,,11,,13,,0.269,,,,,,,,,,,0.129,0.052000000000000005,2.47,0.37,0.374,0.744,0.105,0.284,,,,,,,,,0.363,21.9,85,19.5,2.0,17.2,3.7,45.2,5.4,,6.1,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,0.4,,26 - 26,19.8,2.5,,,,,,,,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,188,57,118,110,123,102,,,,,,,,,,,,,,,,,,0,,,,,,5.4
1006030,1916,Rogers Hornsby,STL,20,139,495,550,155,117,17,15,6,63,65,40,,63,4,,11,,17,,0.313,,,,,,,,,,,0.073,0.115,0.63,0.369,0.444,0.814,0.131,0.35,,,,,,,,,0.39,28.2,81,26.3,-6.0,14.5,4.7,43.1,5.3,,6.1,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,1.6,,20 - 20,27.8,2.1,,,,,,,,0.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,106,124,118,131,154,126,,,,,,,,,,,,,,,,,,0,,,,,,5.3
1001944,1916,Max Carey,PIT,26,154,599,679,158,117,23,11,7,90,42,59,,58,7,,14,,63,19.0,0.264,,,,,,,,,,,0.087,0.085,1.02,0.337,0.374,0.711,0.11,0.283,,,,,,,,,0.346,15.0,80,12.9,9.0,17.9,-4.3,42.2,4.9,,8.2,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,4.1,,26 - 26,17.0,2.6,,,,,,,,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,127,93,108,110,130,102,,,,,,,,,,,,,,,,,,0,,,,,,4.9
1004528,1916,Larry Gardner,BOS,30,148,493,566,152,124,19,7,2,47,62,48,,27,2,,23,,12,,0.308,,,,,,,,,,,0.085,0.048,1.78,0.372,0.387,0.759,0.079,0.323,,,,,,,,,0.368,20.8,75,17.8,1.0,14.9,4.5,40.1,4.8,,4.6,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,0.4,,30 - 30,18.3,1.4,,,,,,,,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,95,56,113,116,101,115,,,,,,,,,,,,,,,,,,0,,,,,,4.8
