IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1011327,1928,Babe Ruth,NYY,33,154,536,684,173,82,29,8,54,163,142,137,,87.0,3,,8,,4,5.0,0.323,,,,,,,,,,,0.2,0.127,1.57,0.463,0.709,1.172,0.386,0.301,,,,,,,,,0.509,91.6,178,89.4,2.0,21.7,-6.7,108.5,10.5,,5.2,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.7,-2.5,,33 - 33,86.9,4.6,,,,,,,,0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,239,194.0,131,173,318,100.0,,,,,,,,,,,,,,,,,,0,,,,,,10.5
1004598,1928,Lou Gehrig,NYY,25,154,562,677,210,123,47,13,27,139,142,95,,69.0,4,,16,,4,11.0,0.374,,,,,,,,,,,0.14,0.102,1.38,0.467,0.648,1.115,0.274,0.393,,,,,,,,,0.495,83.3,169,81.1,4.0,21.5,-6.7,99.3,9.6,,5.3,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7,-5.2,,25 - 25,76.0,4.5,,,,,,,,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,168,155.0,132,158,226,130.0,,,,,,,,,,,,,,,,,,0,,,,,,9.6
1006030,1928,Rogers Hornsby,BSN,32,140,486,619,188,118,42,7,21,99,94,107,,41.0,1,,25,,5,,0.387,,,,,,,,,,,0.17300000000000001,0.066,2.61,0.498,0.632,1.13,0.245,0.394,,,,,,,,,0.506,81.4,160,78.8,-11.0,19.6,4.3,92.9,8.9,,4.5,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.7,-0.2,,32 - 32,78.6,1.3,,,,,,,,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,206,108.0,140,153,200,131.0,,,,,,,,,,,,,,,,,,0,,,,,,8.9
1004893,1928,Goose Goslin,WAS,27,135,456,527,173,110,36,10,17,80,102,48,,19.0,3,,20,,16,3.0,0.379,,,,,,,,,,,0.091,0.036000000000000004,2.53,0.442,0.614,1.056,0.235,0.371,,,,,,,,,0.472,55.1,122,51.2,8.0,16.7,-5.5,75.0,7.3,,6.7,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.1,,27 - 27,52.3,3.5,,,,,,,,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,109,55.0,125,150,193,123.0,,,,,,,,,,,,,,,,,,0,,,,,,7.3
1016700,1928,Willie Wells,SLS,23,78,315,345,113,58,28,5,22,82,81,25,,,5,,7,,13,,0.359,,,,,,,,,,,0.07200000000000001,,,0.414,0.689,1.103,0.33,,,,,,,,,,0.484,39.5,83,40.1,14.0,10.9,4.7,73.2,7.1,,7.2,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,2.2,,23 - 23,42.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,108,,122,175,297,,,,,,,,,,,,,,,,,,,0,,,,,,7.1
1013597,1928,Paul Waner,PIT,25,152,602,697,223,148,50,19,6,142,86,77,,16.0,5,,13,,6,,0.37,,,,,,,,,,,0.11,0.023,4.81,0.446,0.547,0.992,0.176,0.374,,,,,,,,,0.451,60.7,149,51.1,5.0,22.1,-6.6,73.1,7.1,,6.1,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,0.0,,25 - 25,51.1,1.5,,,,,,,,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,132,37.0,126,133,144,125.0,,,,,,,,,,,,,,,,,,0,,,,,,7.1
1008089,1928,Heinie Manush,SLB,26,154,638,697,241,161,47,20,13,104,108,39,,14.0,0,,20,,17,5.0,0.378,,,,,,,,,,,0.055999999999999994,0.02,2.79,0.414,0.575,0.989,0.197,0.373,,,,,,,,,0.444,57.0,145,47.0,4.0,22.1,-6.7,71.3,6.9,,6.6,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7,0.2,,26 - 26,47.2,4.7,,,,,,,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,67,31.0,117,140,163,123.0,,,,,,,,,,,,,,,,,,0,,,,,,6.9
1007631,1928,Freddie Lindstrom,NYG,22,153,646,687,231,169,39,9,14,99,107,25,,21.0,2,,14,,15,,0.358,,,,,,,,,,,0.036000000000000004,0.031,1.19,0.383,0.511,0.894,0.153,0.355,,,,,,,,,0.405,34.8,122,29.2,11.0,21.8,4.7,70.1,6.8,,5.4,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,2.0,,22 - 22,31.2,1.5,,,,,,,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,43,50.0,108,124,125,118.0,,,,,,,,,,,,,,,,,,0,,,,,,6.8
1001228,1928,Jim Bottomley,STL,28,149,576,667,187,94,42,20,31,123,136,71,,54.0,3,,17,,10,,0.325,,,,,,,,,,,0.106,0.081,1.31,0.402,0.628,1.03,0.304,0.318,,,,,,,,,0.454,59.8,144,52.2,-9.0,21.1,-6.4,60.5,5.8,,6.3,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.4,1.1,,28 - 28,53.3,1.4,,,,,,,,0.23399999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,127,132.0,113,153,249,106.0,,,,,,,,,,,,,,,,,,0,,,,,,5.8
1006314,1928,Travis Jackson,NYG,24,150,537,626,145,90,35,6,14,73,77,56,,46.0,0,,33,,8,,0.27,,,,,,,,,,,0.08900000000000001,0.073,1.22,0.339,0.436,0.775,0.166,0.275,,,,,,,,,0.355,6.1,85,1.0,25.0,19.8,9.2,57.2,5.6,,4.6,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,0.9,,24 - 24,1.9,1.3,,,,,,,,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,107,120.0,96,106,136,92.0,,,,,,,,,,,,,,,,,,0,,,,,,5.6
