IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1003311,1939,Joe DiMaggio,NYY,24,120,462,524,176,108,32,6,30,108,126,52,,20.0,4.0,,6,11.0,3,0.0,0.381,,,,,,,,,,,0.099,0.038,2.6,0.448,0.671,1.119,0.29,0.354,,,,,,,,,0.495,65.0,131,58.3,11.0,16.6,-1.4,87.8,8.5,,5.2,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,0.1,,24 - 24,58.4,3.2,,,,,,,,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,99,49.0,124,158,212,118.0,,,,,,,,,,,,,,,,,,0,,,,,,8.5
1009014,1939,Johnny Mize,STL,26,153,564,670,197,111,44,14,28,104,108,92,,49.0,4.0,,10,9.0,0,,0.349,,,,,,,,,,,0.13699999999999998,0.073,1.88,0.444,0.626,1.07,0.277,0.347,,,,,,,,,0.475,72.4,157,65.8,0.0,21.3,-6.6,80.4,7.7,,3.8,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.6,-0.6,,26 - 26,65.2,0.5,,,,,,,,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,162,94.0,128,156,230,118.0,,,,,,,,,,,,,,,,,,0,,,,,,7.7
1004285,1939,Jimmie Foxx,BOS,31,124,467,563,168,92,31,10,35,130,105,89,,72.0,2.0,,5,17.0,4,3.0,0.36,,,,,,,,,,,0.158,0.128,1.24,0.464,0.694,1.158,0.334,0.369,,,,,,,,,0.508,75.4,146,63.4,-2.0,17.9,-5.3,76.4,7.3,,5.8,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.3,-1.1,,31 - 31,62.3,3.5,,,,,,,,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,158,163.0,128,164,244,124.0,,,,,,,,,,,,,,,,,,0,,,,,,7.3
1014040,1939,Ted Williams,BOS,20,149,565,677,185,99,44,11,31,131,145,107,,64.0,2.0,,3,10.0,2,1.0,0.327,,,,,,,,,,,0.158,0.095,1.67,0.436,0.609,1.045,0.281,0.328,,,,,,,,,0.465,67.5,153,53.0,2.0,21.5,-6.4,73.6,7.1,,5.2,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.4,-0.7,,20 - 20,52.4,4.2,,,,,,,,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,158,121.0,121,144,205,110.0,,,,,,,,,,,,,,,,,,0,,,,,,7.1
1004874,1939,Joe Gordon,NYY,24,151,567,648,161,96,32,5,28,92,111,75,,57.0,2.0,,4,15.0,11,10.0,0.284,,,,,,,,,,,0.11599999999999999,0.08800000000000001,1.32,0.37,0.506,0.876,0.222,0.276,,,,,,,,,0.396,28.5,110,20.2,21.0,20.6,4.7,67.7,6.6,,4.3,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,-2.7,,24 - 24,17.4,4.0,,,,,,,,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,116,112.0,102,120,162,92.0,,,,,,,,,,,,,,,,,,0,,,,,,6.6
1001860,1939,Dolph Camilli,BRO,32,157,565,684,164,96,30,12,26,105,104,110,,107.0,4.0,,5,12.0,1,,0.29,,,,,,,,,,,0.161,0.156,1.03,0.409,0.524,0.933,0.234,0.319,,,,,,,,,0.423,45.1,131,40.1,12.0,21.7,-6.8,67.1,6.5,,4.5,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,-0.4,,32 - 32,39.7,0.5,,,,,,,,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,190,200.0,118,131,194,108.0,,,,,,,,,,,,,,,,,,0,,,,,,6.5
1011157,1939,Red Rolfe,NYY,30,152,648,731,213,143,46,10,14,139,80,81,,41.0,1.0,,1,6.0,7,6.0,0.329,,,,,,,,,,,0.111,0.055999999999999994,1.98,0.404,0.495,0.899,0.167,0.336,,,,,,,,,0.411,41.1,133,31.6,7.0,23.2,2.8,67.2,6.5,,5.5,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,-1.9,,30 - 30,29.7,4.5,,,,,,,,0.18600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,111,72.0,112,117,122,112.0,,,,,,,,,,,,,,,,,,0,,,,,,6.5
1006428,1939,Bob Johnson,PHA,33,150,544,653,184,122,30,9,23,115,114,99,,59.0,0.0,,10,12.0,15,5.0,0.338,,,,,,,,,,,0.152,0.09,1.68,0.44,0.553,0.993,0.215,0.348,,,,,,,,,0.45,57.1,139,45.3,2.0,20.7,-6.0,66.2,6.3,,6.2,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,0.1,,33 - 33,45.4,4.0,,,,,,,,0.27699999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,152,115.0,122,131,157,117.0,,,,,,,,,,,,,,,,,,0,,,,,,6.3
1004343,1939,Lonny Frey,CIN,28,125,484,585,141,94,27,9,11,95,55,72,,46.0,4.0,,25,6.0,5,,0.291,,,,,,,,,,,0.12300000000000001,0.079,1.57,0.388,0.452,0.84,0.161,0.304,,,,,,,,,0.388,21.9,96,21.9,18.0,18.6,3.8,63.2,6.1,,5.6,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,0.5,,28 - 28,22.4,0.4,,,,,,,,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,145,101.0,112,113,134,103.0,,,,,,,,,,,,,,,,,,0,,,,,,6.1
1004996,1939,Hank Greenberg,DET,28,138,500,604,156,74,42,7,33,112,112,91,,95.0,2.0,,11,8.0,8,3.0,0.312,,,,,,,,,,,0.151,0.157,0.96,0.42,0.622,1.042,0.31,0.331,,,,,,,,,0.461,58.1,134,42.8,2.0,19.2,-5.9,61.6,5.9,,5.7,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9,-0.2,,28 - 28,42.6,3.7,,,,,,,,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,151,201.0,116,147,226,111.0,,,,,,,,,,,,,,,,,,0,,,,,,5.9
