IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1004285,1932,Jimmie Foxx,PHA,24,154,585,701,213,113,33,9,58,151,169,116,,96.0,0,,0,,3,7.0,0.364,,,,,,,,,,,0.165,0.13699999999999998,1.21,0.469,0.749,1.218,0.385,0.36,,,,,,,,,0.525,107.8,196,95.1,5.0,22.4,-5.9,117.8,11.3,,4.5,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9,-3.2,,24 - 24,91.9,4.4,,,,,,,,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,176,198.0,132,179,287,122.0,,,,,,,,,,,,,,,,,,0,,,,,,11.3
1011327,1932,Babe Ruth,NYY,37,133,457,589,156,97,13,5,41,120,137,130,,62.0,2,,0,,2,2.0,0.341,,,,,,,,,,,0.221,0.105,2.1,0.489,0.661,1.15,0.319,0.325,,,,,,,,,0.505,81.0,155,75.0,0.0,18.8,-5.7,90.6,8.7,,3.9,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.7,-1.2,,37 - 37,73.8,3.7,,,,,,,,0.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,234,152.0,137,158,238,110.0,,,,,,,,,,,,,,,,,,0,,,,,,8.7
1004598,1932,Lou Gehrig,NYY,29,156,596,708,208,123,42,9,34,138,151,108,,38.0,3,,1,,4,11.0,0.349,,,,,,,,,,,0.153,0.054000000000000006,2.84,0.451,0.621,1.072,0.272,0.332,,,,,,,,,0.475,80.3,170,73.2,-4.0,22.6,-6.7,84.7,8.1,,4.6,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.7,-4.8,,29 - 29,68.4,4.4,,,,,,,,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,162,78.0,127,148,203,112.0,,,,,,,,,,,,,,,,,,0,,,,,,8.1
1009904,1932,Mel Ott,NYG,23,154,566,673,180,104,30,8,38,119,123,100,,39.0,4,,3,,6,,0.318,,,,,,,,,,,0.149,0.057999999999999996,2.56,0.424,0.601,1.025,0.283,0.29,,,,,,,,,0.454,64.9,150,63.3,4.0,21.5,-6.7,84.1,8.1,,4.9,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7,0.5,,23 - 23,63.8,1.5,,,,,,,,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,217,80.0,126,146,222,98.0,,,,,,,,,,,,,,,,,,0,,,,,,8.1
1012927,1932,Bill Terry,NYG,33,154,643,677,225,144,42,11,28,124,117,32,,23.0,1,,1,,4,,0.35,,,,,,,,,,,0.047,0.034,1.39,0.382,0.58,0.962,0.23,0.333,,,,,,,,,0.427,50.7,136,49.0,9.0,21.6,-6.7,74.7,7.2,,5.2,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,0.2,,33 - 33,49.3,1.5,,,,,,,,0.12300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,69,47.0,113,141,181,112.0,,,,,,,,,,,,,,,,,,0,,,,,,7.2
1006991,1932,Chuck Klein,PHI,27,154,650,711,226,123,50,15,38,152,137,60,,49.0,1,,0,,20,,0.348,,,,,,,,,,,0.084,0.069,1.22,0.404,0.646,1.05,0.298,0.334,,,,,,,,,0.46,72.4,162,56.9,-6.0,22.7,-6.7,72.0,6.9,,7.1,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.7,3.4,,27 - 27,60.3,1.6,,,,,,,,0.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,123,95.0,120,157,235,113.0,,,,,,,,,,,,,,,,,,0,,,,,,6.9
1009734,1932,Lefty O'Doul,BRO,35,148,595,657,219,158,32,8,21,120,90,50,,20.0,7,,5,,11,,0.368,,,,,,,,,,,0.076,0.03,2.5,0.423,0.555,0.978,0.187,0.357,,,,,,,,,0.44,56.2,139,53.2,-2.0,21.0,-6.4,68.7,6.6,,5.4,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.4,1.5,,35 - 35,54.7,1.5,,,,,,,,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,111,42.0,126,135,147,121.0,,,,,,,,,,,,,,,,,,0,,,,,,6.6
1005691,1932,Babe Herman,CIN,29,148,577,642,188,115,38,19,16,87,87,60,,45.0,0,,5,,7,,0.326,,,,,,,,,,,0.09300000000000001,0.07,1.33,0.389,0.541,0.93,0.215,0.333,,,,,,,,,0.415,42.0,123,40.1,12.0,20.5,-6.3,68.6,6.6,,5.4,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,0.8,,29 - 29,40.9,1.4,,,,,,,,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,137,97.0,116,131,169,112.0,,,,,,,,,,,,,,,,,,0,,,,,,6.6
1002796,1932,Joe Cronin,WAS,25,143,557,629,177,110,43,18,6,95,116,66,,45.0,3,,3,,7,5.0,0.318,,,,,,,,,,,0.105,0.07200000000000001,1.47,0.393,0.492,0.885,0.174,0.338,,,,,,,,,0.401,33.7,113,24.1,7.0,20.1,8.7,62.5,6.0,,5.8,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,-1.4,,25 - 25,22.7,3.9,,,,,,,,0.18600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,111,104.0,110,117,130,114.0,,,,,,,,,,,,,,,,,,0,,,,,,6.0
1002384,1932,Mickey Cochrane,PHA,29,139,518,625,152,90,35,4,23,118,112,100,,22.0,4,,3,,0,1.0,0.293,,,,,,,,,,,0.16,0.035,4.55,0.412,0.51,0.921,0.216,0.273,,,,,,,,,0.418,42.2,121,30.8,1.0,20.0,4.2,58.8,5.6,,3.5,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,-1.1,,29 - 29,29.8,3.9,,,,,,,,0.23199999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,170,51.0,116,122,161,92.0,,,,,,,,,,,,,,,,,,0,,,,,,5.6
